Results: 	[0.6259]	
Results: 	[0.6259, 0.7364]	
Results: 	[0.6259, 0.7364, 0.7127]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934, 0.5913]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934, 0.5913, 0.6792]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934, 0.5913, 0.6792, 0.6611]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934, 0.5913, 0.6792, 0.6611, 0.5169]	
Results: 	[0.6259, 0.7364, 0.7127, 0.6636, 0.5569, 0.6753, 0.9042, 0.7187, 0.55, 0.7837, 0.6334, 0.6367, 0.7196, 0.6111, 0.6883, 0.7431, 0.6229, 0.6298, 0.6934, 0.9295, 0.6645, 0.5828, 0.6798, 0.7175, 0.6934, 0.5913, 0.6792, 0.6611, 0.5169, 0.6313]
30 Support Sets: (Mean:0.6751, SD:0.08952244950579291) | 	
