Results: 	[0.7275]	
Results: 	[0.7275, 0.7114]	
Results: 	[0.7275, 0.7114, 0.8061]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921, 0.7043]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921, 0.7043, 0.6872]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921, 0.7043, 0.6872, 0.7308]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921, 0.7043, 0.6872, 0.7308, 0.6955]	
Results: 	[0.7275, 0.7114, 0.8061, 0.7237, 0.7304, 0.722, 0.6955, 0.7961, 0.7437, 0.7986, 0.7237, 0.81, 0.7815, 0.7046, 0.7315, 0.7398, 0.7524, 0.7657, 0.7906, 0.7679, 0.7597, 0.7115, 0.7015, 0.7159, 0.6921, 0.7043, 0.6872, 0.7308, 0.6955, 0.7101]
30 Support Sets: (Mean:0.73771, SD:0.036854095828148394) | 	
